ASV,KAW04,KAW05,KAW06,KAW07,KAW09,KAW10,KAW11,KAW12,KAW13,KAW14,KAW15,KAW16,KAW18,KAW19,KAW20,KAW24,KAW25,KAW26,KAW27,KAW28,KAW29,KAW30,KAW31,KAW32,KAW33,KAW41,KAW49,KAW50
ASV00001,1075,3088,4320,464,2476,5884,2498,3873,729,1924,2390,3538,1852,879,2465,187,2498,1291,5487,317,1018,569,5046,141,468,233,976,343
ASV00002,51,604,404,55,668,815,604,139,2535,1512,577,875,958,530,2368,3371,1135,798,1198,2910,683,515,709,740,368,143,224,2566
ASV00003,344,2909,985,104,953,791,841,101,6269,1045,511,341,479,399,1074,674,338,279,241,2432,294,158,265,716,199,115,168,3932
ASV00004,5651,1685,2441,196,659,1575,537,1131,3407,823,263,906,308,148,413,244,159,58,298,544,148,42,296,242,219,310,61,1577
ASV00005,613,1259,746,59,323,614,229,107,3285,761,162,263,232,220,564,1163,125,43,88,3032,289,44,147,1413,393,389,201,4587
ASV00006,434,62,716,1902,82,726,1711,883,132,668,1051,643,445,1500,344,116,569,2140,432,374,1010,2973,906,193,151,114,720,118
ASV00007,26,257,202,22,324,278,321,69,1286,673,333,317,581,248,723,764,885,312,920,1192,814,235,1337,589,784,43,252,1063
ASV00008,49,213,305,55,247,586,363,216,1109,1021,509,870,807,542,611,349,625,993,483,339,349,649,389,168,156,0,106,516
ASV00009,1162,1095,1004,51,408,851,323,587,1833,382,112,676,150,42,92,43,74,9,171,181,58,4,188,162,96,115,28,445
ASV00010,292,40,580,912,40,477,686,377,45,280,450,177,88,382,89,42,139,501,169,60,270,790,304,54,69,48,611,29
ASV00011,607,69,724,857,27,715,438,658,130,308,357,224,141,220,114,34,172,246,110,80,176,390,160,64,115,59,718,37
ASV00012,1327,79,1006,376,37,726,361,925,35,446,392,349,42,27,124,48,45,164,0,49,80,170,79,62,83,58,815,0
ASV00013,65,0,33,90,11,64,84,40,155,399,163,148,1019,456,2024,20,411,1276,570,0,42,235,27,10,0,43,142,125
ASV00014,355,69,444,126,114,432,375,533,135,296,287,280,414,376,797,50,381,414,549,47,134,192,350,63,81,0,54,173
ASV00015,929,228,381,60,111,331,135,501,370,316,128,214,223,70,514,217,254,120,294,176,103,32,202,40,0,0,0,224
ASV00016,46,0,123,24,55,91,85,134,383,271,300,275,987,464,1199,43,195,466,331,11,27,162,69,0,18,78,3,173
ASV00017,130,1490,649,58,168,387,262,231,430,163,104,141,64,55,80,106,71,65,74,347,81,0,79,166,96,109,103,179
ASV00018,365,56,456,763,51,229,438,376,36,117,147,98,38,82,0,24,74,161,43,91,237,678,255,47,63,63,541,0
