ASV,KAW01,KAW02,KAW03,KAW04,KAW05,KAW06,KAW07,KAW08,KAW09,KAW10,KAW11,KAW12,KAW13,KAW14,KAW15,KAW16,KAW18,KAW19,KAW20,KAW21,KAW22,KAW23,KAW24,KAW25,KAW26,KAW27,KAW28,KAW29,KAW30,KAW31,KAW32,KAW33,KAW34,KAW35,KAW36,KAW37,KAW38,KAW39,KAW40,KAW41,KAW42,KAW43,KAW44,KAW45,KAW46,KAW47,KAW48,KAW49,KAW50
ASV00001,0,0,0,0,0,930,2554,3044,0,150,1117,0,0,1737,6248,772,1450,17914,8,0,0,0,0,2675,22283,500,987,589,16548,1351,3,2812,13447,29,3,8745,39168,8439,1364,26939,4305,13572,0,445,3,15811,24995,13416,0
ASV00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,47354,54150,47376,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV00003,0,0,73,0,9,39,79,27,0,38,49,27,0,0,137,26,73,103,44,0,0,0,49,361,918,665,1849,7935,7941,9040,2906,11783,11473,9007,367,1727,902,3091,0,60,75,463,0,0,220,428,511,309,5
ASV00004,848,1197,2239,1881,1043,1429,1080,693,334,617,750,967,396,514,500,496,1101,570,827,0,0,0,812,863,850,776,1681,1786,1597,1420,548,752,443,512,1299,583,985,409,568,450,921,1190,1495,2840,787,1115,1386,692,359
ASV00005,497,419,93,40,6088,1251,172,98,7448,3063,5542,1134,4158,3172,1839,3154,530,1211,134,0,0,0,12,37,296,9,23,18,86,6,8,5,7,0,100,18,6,13,29,24,65,70,151,0,85,25,0,0,91
ASV00006,0,0,385,606,37,423,1687,1611,0,36,0,596,0,85,0,321,310,6,41,0,0,11,489,6608,7,3857,751,2663,166,5079,658,2317,416,2019,90,2829,297,1179,139,0,0,0,0,1466,240,810,473,2241,38
ASV00007,0,0,632,362,0,1963,3769,6347,0,136,2827,1778,0,829,1176,223,584,743,0,0,0,0,0,0,1144,653,0,1493,1283,563,0,73,1581,0,0,433,79,214,0,0,0,0,0,2791,0,647,592,157,0
ASV00008,160,202,230,239,400,408,533,208,235,203,825,345,294,366,376,332,915,1553,784,0,0,0,1296,777,2248,714,2841,2562,3758,1710,586,624,586,412,465,180,343,228,401,339,384,911,197,317,371,369,448,275,549
ASV00009,920,1245,2220,2078,1356,1173,348,297,440,542,405,932,193,600,386,413,112,39,302,0,0,0,233,57,321,39,863,414,480,196,427,278,183,483,2895,713,226,323,1129,516,405,1060,1135,1726,1129,1227,1137,602,95
ASV00010,1013,1300,1383,1273,779,715,725,334,295,164,695,456,156,185,135,163,250,221,85,0,0,0,359,239,375,176,1552,1651,1925,1049,455,396,431,364,544,246,223,172,498,299,309,839,2440,2302,586,585,558,330,108
ASV00011,4,6,0,50,0,0,88,29,8,0,96,36,8,25,0,0,0,0,0,0,0,0,35,120,316,205,888,2559,2025,3185,841,3574,2911,2874,199,853,337,1561,45,144,192,1349,0,28,252,704,478,256,0
ASV00012,417,448,952,907,383,927,1022,455,186,371,281,650,417,388,391,245,379,255,210,0,0,0,1259,237,14,48,1898,119,63,73,1854,164,32,451,725,0,0,0,999,144,709,302,780,1379,1381,214,0,0,871
ASV00013,367,493,1312,1235,295,1118,3397,1828,156,709,1002,1159,221,234,1217,267,659,781,316,0,0,0,222,240,276,361,41,166,47,181,92,61,0,80,101,43,0,0,141,68,251,520,499,1886,229,78,0,0,195
ASV00014,770,897,766,646,514,825,530,326,136,215,470,372,129,162,105,86,262,237,189,0,0,0,405,172,187,193,673,710,842,552,305,181,147,157,893,308,358,189,246,133,139,243,558,549,382,284,414,291,192
ASV00015,0,0,0,0,0,24,472,79,0,9,390,0,0,0,451,0,17,1133,0,0,0,0,0,62,1799,0,0,458,3975,0,0,53,1514,0,0,142,949,0,0,506,0,2313,0,0,0,407,669,506,0
ASV00016,0,10,22,35,0,16,32,67,0,12,12,18,15,66,28,12,136,109,51,0,0,0,530,506,574,203,1328,2323,684,1068,1552,1027,572,1503,215,1276,786,578,0,0,9,0,0,20,0,55,111,25,84
ASV00017,14,0,15,12,41,0,8,0,48,0,0,17,127,57,0,9,37,0,44,0,0,0,382,56,27,23,1033,163,8,73,922,77,20,201,2048,184,0,20,2562,546,2139,842,46,7,1691,776,136,40,232
ASV00018,0,0,318,594,11,892,2559,37,12,0,415,1099,0,112,342,136,218,653,0,0,0,7,0,1046,0,663,0,1213,267,97,107,236,0,96,0,176,14,403,113,217,838,0,0,1218,96,158,142,102,0
ASV00019,273,545,255,856,627,224,2693,1073,162,303,0,319,328,465,76,194,598,69,283,0,0,19,543,326,30,130,0,0,0,0,0,107,0,360,0,0,0,0,19,0,0,0,878,1698,183,0,0,0,539
ASV00020,0,0,0,0,0,37,163,61,0,163,455,975,0,322,578,660,129,351,0,0,0,0,0,50,337,0,3,360,537,64,15,500,3455,361,277,396,258,96,0,652,553,1740,0,28,39,298,158,99,0
ASV00021,10,25,27,17,26,29,17,16,48,47,56,13,71,235,134,106,937,249,589,0,0,0,246,321,147,518,325,604,234,1971,154,300,198,191,110,606,181,1153,251,240,561,868,0,12,244,906,222,128,120
ASV00022,793,1121,871,861,1020,724,144,27,507,319,209,233,252,806,104,352,108,32,114,0,0,0,54,0,0,0,134,0,0,0,281,41,0,104,559,52,0,0,268,0,11,0,926,530,257,20,0,0,15
ASV00023,0,0,181,136,0,393,572,518,0,383,270,1846,0,99,168,289,648,407,123,0,0,0,0,676,705,697,28,523,607,78,0,67,144,20,392,327,39,282,0,71,64,234,0,146,173,488,27,15,0
ASV00024,354,378,342,301,315,321,315,122,132,116,375,142,100,130,137,84,167,369,125,0,0,0,344,157,487,180,582,530,877,505,188,152,120,152,250,97,119,99,293,149,239,318,257,210,223,232,359,230,91
ASV00025,53,93,306,245,592,289,339,191,83,55,158,197,318,118,76,67,118,62,202,0,0,0,106,178,67,108,1297,504,122,319,425,161,53,531,329,120,43,143,232,209,403,1136,69,182,283,147,43,31,124
ASV00026,83,148,463,433,412,369,109,182,104,88,113,283,338,207,60,190,83,82,135,0,0,0,221,116,84,71,789,286,115,128,148,127,93,170,283,98,68,39,299,214,615,666,190,468,589,160,66,39,272
ASV00027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1607,3104,5058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV00028,306,609,99,133,718,422,95,32,293,424,224,710,602,271,225,214,0,36,0,0,0,0,407,48,32,0,827,90,0,0,409,60,0,131,148,50,0,0,0,0,24,0,153,71,219,51,0,0,368
ASV00029,0,0,0,0,0,20,20,0,0,0,35,16,0,0,14,0,20,50,0,0,0,0,78,43,146,28,292,356,894,330,172,178,231,98,244,104,124,73,331,501,507,1317,0,0,552,534,730,422,0
ASV00030,194,204,241,179,347,140,11,36,30,53,38,122,85,27,29,70,170,47,248,0,0,0,153,193,92,287,834,206,58,363,196,148,49,284,201,175,95,341,113,81,220,287,602,106,97,83,71,23,292
ASV00031,39,28,140,106,22,243,630,240,0,81,250,111,464,770,417,637,111,285,9,0,0,0,0,33,78,69,0,679,87,1005,6,341,124,188,37,111,66,102,0,0,0,0,0,78,111,67,8,6,0
ASV00032,180,220,249,248,255,261,0,0,112,131,49,353,72,73,0,60,0,0,0,0,0,0,85,0,0,0,725,265,0,247,382,69,0,237,1482,179,0,80,177,0,53,52,80,98,475,448,167,65,0
ASV00033,0,0,0,0,0,20,33,11,0,8,10,16,0,0,21,25,177,45,78,0,0,0,43,115,76,132,70,160,217,146,229,144,240,157,61,431,790,230,0,156,371,663,677,209,221,291,709,583,26
ASV00034,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,272,613,0,2037,0,0,0,853,721,466,841,891,288,163,131,0,0,0,90,0,0,0,0,0,0,63,0,0,0,0,40,0,0,0
