name,date,layer,lon,lat,mur_sst,nam_first_vegtyp,nam_max_airtemp,nam_mean_airtemp,nam_mean_cloud,nam_mean_relhum,nam_mean_trnstr,nam_mean_uwind,nam_mean_vegcvr,nam_mean_vis,nam_mean_vwind,nam_mean_wilt,nam_min_airtemp,nam_sum_precip
BR10,10/18/17,A2017291,-68.703252,44.39509,,0,216.1376038,215.6787148,6.75,4.5,0,9.000922203,0,24100,3.266087472,0,215.0089569,0
BR2,7/21/16,A2016203,-68.703252,44.39509,,,,,,,,,,,,,,
BR3,8/18/16,A2016231,-68.703252,44.39509,,0,297.0732422,294.5119629,,72.5,0,4.314704418,0,,0.13892746,0,293.453125,0
BR4,9/18/16,A2016262,-68.703252,44.39509,,0,292.2077637,290.7922974,,94,0,3.228569269,0,,11.15921783,0,289.7443848,1.125
BR5,10/16/16,A2016290,-68.703252,44.39509,,0,286.3110352,282.7141113,,79,0,1.611227751,0,,6.87569809,0,280.2705078,0
BR6,6/18/17,A2017169,-68.703252,44.39509,,0,217.6991272,217.3247757,100,1.150000036,0,-1.097718801,0,350,0.538350457,0,217.1000061,0.300000004
BR7,7/7/17,A2017188,-68.703252,44.39509,,0,219.1551819,218.8308792,77.25,2.049999952,0,0.535539541,0,3450,1.340043187,0,218.0683289,0.400000006
BR9,9/20/17,A2017263,-68.703252,44.39509,,0,212.1051788,212.0762749,99.25,4.149999976,0,1.09546937,0,2850,-1.486447603,0,211.9999695,2.25
JP1,6/8/16,A2016160,-69.536582,44.032384,,5,292.8295898,290.2092285,,85.5,0.359999985,2.058111429,77.6875,,-0.361108541,0.083749995,288.751709,0.625
JP2,7/7/16,A2016189,-69.536582,44.032384,,5,291.3303223,288.461853,,93.25,0.359999985,-3.739124298,85.1875,,-2.32497406,0.083749995,287.1469727,0.75
JP3,8/3/16,A2016216,-69.536582,44.032384,,5,296.8078613,293.0751343,,63.75,0.359999985,0.314228058,80.5,,1.37203598,0.083749995,291.0537109,0
JP4,9/7/16,A2016251,-69.536582,44.032384,,5,293.9956055,292.9963989,,97,0.359999985,-2.631327391,70.375,,3.116321564,0.083749995,292.5197754,1
JP5,10/5/16,A2016279,-69.536582,44.032384,,5,287.4345703,283.2871704,,73.5,0.359999985,-1.681247711,55.4375,,0.109825134,0.083749995,281.1791992,0
JP7,7/12/17,A2017193,-69.536582,44.032384,,5,219.1308594,218.912056,40,3.200000048,0.360000014,0.731142901,85.72499847,17450,0.075783007,0.083999999,218.6000061,0.500000015
JP8,8/1/17,A2017213,-69.536582,44.032384,,5,218.6999969,218.4901505,3.75,2.225000024,0.360000014,-0.470886514,81.02499962,24100,-0.589499742,0.083999999,218.1999969,0.0625
JP9,9/7/17,A2017250,-69.536582,44.032384,,5,217.5,217.2248421,76,4.600000024,0.360000014,-0.60556791,70.30000114,8875,6.19768393,0.083999999,217.0000305,1.625
KB1,6/18/16,A2016170,-70.575892,43.305356,,5,291.6906738,289.8663737,,63,0.3125,-0.678714434,96,,-2.705165863,0.047499999,288.3691406,0
KB10,10/21/17,A2017294,-70.575892,43.305356,,5,213.5,213.1944084,0,6.033546329,0.312000006,5.693161368,60.84999943,24089.29688,-1.371665282,0.046999998,212.8999939,0
KB2,7/16/16,A2016198,-70.575892,43.305356,,5,301.6589355,298.6755371,,62.5,0.3125,3.869701385,96.875,,1.166717529,0.047499999,295.7666016,0
KB3,8/13/16,A2016226,-70.575892,43.305356,,5,300.140625,293.1964722,,90.5,0.3125,-3.220252991,91.4375,,-2.098151207,0.047499999,290.1967773,1.5
KB4,9/11/16,A2016255,-70.575892,43.305356,,5,296.6650391,294.0294189,,86.75,0.3125,0.198927641,89.25,,2.635606766,0.047499999,291.9377441,4.125
KB5,10/9/16,A2016283,-70.575892,43.305356,,5,289.208252,286.503479,,95.5,0.3125,-0.005418777,70.6875,,-1.203910828,0.047499999,283.3811035,15.375
KB6,6/24/17,A2017175,-70.575892,43.305356,,5,215.5,214.7274857,17.5,2.475000024,0.312000006,-4.060197711,93.69999695,22875,2.101028502,0.046999998,214.3757324,5.699999928
